,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nishihara,JP,26.1842,127.7558,72.68,91,75,0.0,broken clouds
1,Mahebourg,MU,-20.4081,57.7,74.25,78,40,12.66,scattered clouds
2,Naze,JP,28.3667,129.4833,70.86,65,76,10.4,broken clouds
3,Nuuk,GL,64.1835,-51.7216,27.21,46,0,9.22,clear sky
4,Dikson,RU,73.5069,80.5464,7.38,86,100,19.04,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,46.51,36,75,21.85,broken clouds
6,Busselton,AU,-33.65,115.3333,57.04,85,100,9.8,light rain
7,Albany,US,42.6001,-73.9662,58.8,61,83,1.01,broken clouds
8,Akyab,MM,20.15,92.9,76.71,76,88,4.29,overcast clouds
9,Hobart,AU,-42.8794,147.3294,48.25,75,75,1.01,broken clouds
10,Ketchikan,US,55.3422,-131.6461,43.88,71,99,8.59,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,74.5,71,18,17.2,few clouds
12,Chuy,UY,-33.6971,-53.4616,68.77,41,0,11.18,clear sky
13,Vaini,TO,-21.2,-175.2,75.36,78,20,6.91,few clouds
14,Ushuaia,AR,-54.8,-68.3,33.46,80,75,39.12,snow
15,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,42,15.17,scattered clouds
16,Martapura,ID,-3.4167,114.85,77.09,100,36,1.14,scattered clouds
17,Bauchi,NG,10.5,10.0,80.62,41,99,2.77,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,53.35,90,99,0.78,overcast clouds
19,Kaitangata,NZ,-46.2817,169.8464,51.78,92,100,0.78,overcast clouds
20,Kapaa,US,22.0752,-159.319,80.58,77,20,1.99,few clouds
21,Hermanus,ZA,-34.4187,19.2345,60.91,68,0,11.65,clear sky
22,Butaritari,KI,3.0707,172.7902,80.1,71,3,2.91,clear sky
23,Salalah,OM,17.0151,54.0924,77.09,78,0,4.61,clear sky
24,Henderson,US,36.0397,-114.9819,73.98,29,1,20.71,clear sky
25,Ribeira Grande,PT,38.5167,-28.7,66.6,72,20,3.44,few clouds
26,Toppenish,US,46.3774,-120.3087,57.69,91,100,10.27,overcast clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,100,10.36,overcast clouds
28,Esperance,AU,-33.8667,121.9,67.87,36,100,26.4,overcast clouds
29,Kousseri,CM,12.0769,15.0306,90.88,22,30,6.93,scattered clouds
30,Wenling,CN,28.3669,121.36,58.44,83,4,9.82,light rain
31,Sitka,US,57.0531,-135.33,46.29,66,40,3.44,scattered clouds
32,Victoria,HK,22.2855,114.1577,69.33,74,4,1.01,light rain
33,Fairbanks,US,64.8378,-147.7164,28.22,90,90,0.0,fog
34,Acapulco,MX,16.8634,-99.8901,80.42,78,90,10.36,thunderstorm with rain
35,Kolokani,ML,13.5728,-8.0339,84.87,46,52,5.88,broken clouds
36,Richards Bay,ZA,-28.783,32.0377,63.73,68,60,6.85,broken clouds
37,Georgetown,MY,5.4112,100.3354,77.9,94,20,0.0,few clouds
38,Bluff,NZ,-46.6,168.3333,52.54,94,100,4.16,overcast clouds
39,Traiguen,CL,-38.25,-72.6833,67.42,54,55,7.85,broken clouds
40,Kruisfontein,ZA,-34.0033,24.7314,53.89,75,0,4.27,clear sky
41,Hamilton,US,39.1834,-84.5333,66.58,96,90,1.01,mist
42,Bangaon,IN,23.0667,88.8167,80.55,75,57,2.37,broken clouds
43,Jamestown,US,42.097,-79.2353,54.99,82,90,4.0,overcast clouds
44,Launceston,AU,-41.45,147.1667,46.62,76,75,4.0,broken clouds
45,Ponta Do Sol,PT,32.6667,-17.1,70.43,57,54,6.4,broken clouds
46,Baltiysk,RU,54.6538,19.911,42.78,76,100,13.85,overcast clouds
47,Qaanaaq,GL,77.484,-69.3632,-3.08,60,0,10.63,clear sky
48,Abadan,IR,30.3392,48.3043,80.55,26,0,6.91,clear sky
49,Filiatra,GR,37.15,21.5833,66.61,78,100,5.32,overcast clouds
50,Saskylakh,RU,71.9167,114.0833,-9.85,100,95,4.74,overcast clouds
51,Hilo,US,19.7297,-155.09,78.28,94,54,1.01,light rain
52,Neiafu,TO,-18.65,-173.9833,75.88,69,40,6.91,scattered clouds
53,Dehui,CN,44.5333,125.7,44.91,79,91,9.48,overcast clouds
54,Yulara,AU,-25.2406,130.9889,60.64,51,0,8.05,clear sky
55,Bredasdorp,ZA,-34.5322,20.0403,54.28,76,0,3.44,clear sky
56,Shimoda,JP,34.6667,138.95,58.1,63,100,13.02,light rain
57,Camopi,GF,3.1655,-52.3158,81.18,85,100,5.12,overcast clouds
58,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,75,5.75,broken clouds
59,Villa Juarez,MX,24.6536,-107.5411,92.71,61,75,0.0,broken clouds
60,Tasiilaq,GL,65.6145,-37.6368,32.16,95,100,22.55,snow
61,Ixtapa,MX,20.7,-105.2,86.23,70,75,8.05,broken clouds
62,Araouane,ML,18.9048,-3.5265,93.94,20,40,6.64,scattered clouds
63,Masindi,UG,1.6744,31.715,67.48,92,94,1.16,moderate rain
64,Bethel,US,41.3712,-73.414,59.49,64,90,9.22,overcast clouds
65,Castro,BR,-24.7911,-50.0119,61.84,88,92,6.04,overcast clouds
66,Biryukove,UA,47.9563,39.7384,43.11,54,100,6.82,overcast clouds
67,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.66,57,100,3.6,moderate rain
68,Khotyn,UA,48.4833,26.5,39.2,60,47,4.59,scattered clouds
69,Havoysund,NO,70.9963,24.6622,30.43,76,89,11.72,overcast clouds
70,Namibe,AO,-15.1961,12.1522,65.21,81,1,8.93,clear sky
71,Olafsvik,IS,64.8945,-23.7142,42.6,89,100,18.41,moderate rain
72,South Lake Tahoe,US,38.9332,-119.9844,48.36,86,90,14.97,heavy intensity rain
73,Geraldton,AU,-28.7667,114.6,64.81,77,90,4.61,overcast clouds
74,Bandarbeyla,SO,9.4942,50.8122,79.16,74,97,7.96,overcast clouds
75,Dingle,PH,10.9995,122.6711,75.65,92,100,4.09,overcast clouds
76,Oktyabrskoye,RU,43.0645,44.7417,42.94,93,45,2.24,scattered clouds
77,Bilibino,RU,68.0546,166.4372,-20.06,100,99,3.4,overcast clouds
78,Colares,PT,38.7992,-9.4469,64.29,62,0,5.01,clear sky
79,Peterhead,GB,57.5058,-1.7981,54.45,86,100,21.74,overcast clouds
80,Pangnirtung,CA,66.1451,-65.7125,28.4,86,75,4.61,broken clouds
81,Arlit,NE,18.7369,7.3853,89.73,10,0,7.25,clear sky
82,Cape Town,ZA,-33.9258,18.4232,60.28,71,20,4.0,few clouds
83,Hualmay,PE,-11.0964,-77.6139,68.25,70,14,10.49,few clouds
84,Norman Wells,CA,65.282,-126.8329,23.04,93,90,4.61,overcast clouds
85,Doka,SD,13.5167,35.7667,84.29,40,92,6.76,overcast clouds
86,Tigzirt,DZ,36.8886,4.1198,64.0,68,0,8.5,clear sky
87,Pimenta Bueno,BR,-11.6725,-61.1936,88.32,58,47,11.61,scattered clouds
88,Ajdabiya,LY,30.7554,20.2263,79.23,27,33,17.49,scattered clouds
89,Dubasari,MD,47.2631,29.1608,47.19,59,11,6.8,few clouds
90,Mount Isa,AU,-20.7333,139.5,76.77,53,40,6.91,light rain
91,Zyryanovsk,KZ,49.7386,84.2719,34.0,74,13,2.13,few clouds
92,Muros,ES,42.7762,-9.0603,60.1,89,70,3.58,broken clouds
93,Le Vauclin,MQ,14.5452,-60.8388,87.85,62,20,17.27,few clouds
94,Kodiak,US,57.79,-152.4072,44.11,87,90,0.0,overcast clouds
95,Awbari,LY,26.5921,12.7805,81.3,24,11,7.16,few clouds
96,Kavieng,PG,-2.5744,150.7967,82.06,76,85,12.53,light rain
97,Cabo Rojo,PR,18.0866,-67.1457,87.78,72,100,3.0,light rain
98,Buala,SB,-8.145,159.5921,79.59,82,32,0.25,scattered clouds
99,Lakes Entrance,AU,-37.8811,147.981,48.16,73,73,12.03,broken clouds
100,Korla,CN,41.7597,86.1469,47.97,38,0,2.8,clear sky
101,Hithadhoo,MV,-0.6,73.0833,81.32,77,83,14.14,broken clouds
102,Lavrentiya,RU,65.5833,-171.0,21.97,83,100,9.78,overcast clouds
103,Faanui,PF,-16.4833,-151.75,75.92,90,100,12.39,light rain
104,Barra Dos Coqueiros,BR,-10.9089,-37.0386,82.42,78,20,17.27,few clouds
105,Rio Tercero,AR,-32.173,-64.1141,76.48,14,0,8.34,clear sky
106,Guadalupe Y Calvo,MX,26.1,-106.9667,68.5,24,0,5.57,clear sky
107,Lamu,KE,-2.2717,40.902,77.65,84,4,10.8,clear sky
108,Saint-Joseph,RE,-21.3667,55.6167,73.78,82,44,12.46,scattered clouds
109,Nyurba,RU,63.2842,118.3319,32.54,98,100,6.78,light snow
110,Port Blair,IN,11.6667,92.75,78.84,89,40,2.3,mist
111,Provideniya,RU,64.3833,-173.3,24.91,58,0,11.18,clear sky
112,Kibungo,RW,-2.1597,30.5427,70.72,69,95,1.39,overcast clouds
113,Itarema,BR,-2.9248,-39.9167,85.3,59,4,16.64,clear sky
114,Tuy Hoa,VN,13.0833,109.3,77.38,91,100,13.67,heavy intensity rain
115,Lorengau,PG,-2.0226,147.2712,80.56,79,54,7.76,broken clouds
116,Cidreira,BR,-30.1811,-50.2056,69.35,46,0,13.22,clear sky
117,Nazret,ET,8.55,39.2667,62.53,37,23,4.7,few clouds
118,Nemuro,JP,43.3236,145.575,51.22,76,0,8.37,clear sky
119,Mackay,AU,-21.15,149.2,75.69,75,56,4.07,broken clouds
120,Katsuura,JP,35.1333,140.3,55.51,59,98,6.62,overcast clouds
121,Zhigansk,RU,66.7697,123.3711,13.59,96,88,4.85,overcast clouds
122,New Norfolk,AU,-42.7826,147.0587,47.91,67,100,1.99,overcast clouds
123,Srednekolymsk,RU,67.45,153.6833,-7.01,95,99,2.3,overcast clouds
124,Biak,ID,-0.9131,122.8766,76.23,74,100,2.75,overcast clouds
125,Isangel,VU,-19.55,169.2667,69.91,94,23,2.3,few clouds
126,Pevek,RU,69.7008,170.3133,6.55,94,100,2.37,overcast clouds
127,Daman,IN,20.4167,72.85,76.01,71,5,1.39,clear sky
128,Ancud,CL,-41.8697,-73.8203,61.43,88,98,15.14,overcast clouds
129,Namatanai,PG,-3.6667,152.4333,78.89,81,90,5.73,light rain
130,Jinji,CN,23.2281,110.8261,59.38,75,0,3.4,clear sky
131,Kirakira,SB,-10.4544,161.9205,79.34,85,27,8.1,scattered clouds
132,Dotnuva,LT,55.35,23.9,40.08,85,70,6.55,broken clouds
133,Mar Del Plata,AR,-38.0023,-57.5575,71.62,28,0,18.41,clear sky
134,Half Moon Bay,US,37.4636,-122.4286,64.8,93,90,29.93,light rain
135,Thompson,CA,55.7435,-97.8558,32.16,80,75,6.91,light shower snow
136,Touros,BR,-5.1989,-35.4608,85.1,63,28,15.03,scattered clouds
137,Bouca,CF,6.5105,18.2733,72.77,92,43,3.36,moderate rain
138,Labuhan,ID,-6.8844,112.2051,78.82,83,97,5.88,overcast clouds
139,Long Beach,US,33.767,-118.1892,73.83,74,90,5.01,overcast clouds
140,Saint-Pierre,RE,-21.3393,55.4781,74.88,76,0,2.3,clear sky
141,Yellowknife,CA,62.456,-114.3525,41.56,84,90,21.85,overcast clouds
142,Alofi,NU,-19.0595,-169.9187,76.89,61,99,14.97,overcast clouds
143,Grabouw,ZA,-34.1515,19.0151,57.49,78,0,7.61,clear sky
144,Torbay,CA,47.6666,-52.7314,59.76,92,20,16.11,few clouds
145,Vardo,NO,70.3705,31.1107,31.98,86,40,8.05,light snow
146,Bichena,ET,10.45,38.2,53.44,56,13,6.04,few clouds
147,Adrar,MR,20.5022,-10.0711,86.63,22,33,5.21,scattered clouds
148,Aksu,CN,41.1231,80.2644,49.24,45,0,3.74,clear sky
149,Cartagena,CO,10.3997,-75.5144,83.82,79,75,8.05,broken clouds
150,Shiloh,US,38.5614,-89.8973,80.33,64,75,24.16,broken clouds
151,Avarua,CK,-21.2078,-159.775,75.25,60,40,12.66,scattered clouds
152,Carnarvon,AU,-24.8667,113.6333,68.07,73,75,14.97,broken clouds
153,Sahbuz,AZ,39.4072,45.5739,46.0,33,0,2.8,clear sky
154,Aksarka,RU,66.5606,67.7975,21.85,84,6,12.5,clear sky
155,Cabedelo,BR,-6.9811,-34.8339,84.87,65,97,12.24,overcast clouds
156,San Patricio,US,28.017,-97.5169,91.38,48,3,8.61,clear sky
157,Necochea,AR,-38.5473,-58.7368,66.22,43,13,10.11,few clouds
158,East London,ZA,-33.0153,27.9116,63.68,62,100,13.67,overcast clouds
159,Murdochville,CA,48.9583,-65.5006,40.08,93,100,8.25,overcast clouds
160,Milak,IN,28.6167,79.1833,69.84,76,66,4.38,broken clouds
161,Codrington,AU,-38.2667,141.9667,50.09,66,100,9.91,overcast clouds
162,Upernavik,GL,72.7868,-56.1549,15.85,67,96,8.43,overcast clouds
163,Clyde River,CA,70.4692,-68.5914,13.57,78,49,6.04,scattered clouds
164,Hami,CN,42.8,93.45,46.24,39,0,6.58,clear sky
165,Lebu,CL,-37.6167,-73.65,57.97,79,18,9.42,few clouds
166,Katangli,RU,51.7102,143.2326,30.24,86,65,8.66,broken clouds
167,Chokurdakh,RU,70.6333,147.9167,-6.21,99,100,2.89,overcast clouds
168,Nikolskoye,RU,59.7035,30.7861,34.88,83,90,3.83,overcast clouds
169,Dekar,BW,-21.5333,21.9333,80.89,17,5,4.05,clear sky
170,Tautira,PF,-17.7333,-149.15,73.42,91,100,17.87,moderate rain
171,Cabo San Lucas,MX,22.8909,-109.9124,88.9,65,20,2.3,few clouds
172,Gamba,GA,-2.65,10.0,76.86,91,100,5.26,light rain
173,Manokwari,ID,-0.8667,134.0833,78.04,76,100,1.99,light rain
174,Port Alfred,ZA,-33.5906,26.891,60.51,70,22,11.45,few clouds
175,Kyshtovka,RU,56.555,76.6271,45.77,87,100,9.26,light rain
176,Nome,US,64.5011,-165.4064,28.47,86,90,4.61,light snow
177,Caravelas,BR,-17.7125,-39.2481,81.55,72,2,11.14,clear sky
178,Iqaluit,CA,63.7506,-68.5145,31.73,74,90,5.99,overcast clouds
179,Verkhoyansk,RU,67.5447,133.385,6.28,98,100,1.83,overcast clouds
180,Shingu,JP,33.7333,135.9833,60.73,90,100,4.81,moderate rain
181,Hambantota,LK,6.1241,81.1185,79.07,80,100,7.9,overcast clouds
182,Havelock,US,34.8791,-76.9013,78.98,70,100,4.0,overcast clouds
183,Port Elizabeth,ZA,-33.918,25.5701,56.1,87,75,2.3,broken clouds
184,Santa Catalina,PH,9.3337,122.8637,77.47,88,97,3.31,overcast clouds
185,New Ulm,US,44.3125,-94.4605,48.7,64,1,13.8,clear sky
186,Marzuq,YE,14.4,46.4667,72.57,24,4,1.79,clear sky
187,Bonavista,CA,48.6499,-53.1147,60.12,93,100,19.19,overcast clouds
188,Madimba,TZ,-10.4,40.3333,76.77,87,14,5.41,few clouds
189,Hofn,IS,64.2539,-15.2082,42.89,86,100,16.24,moderate rain
190,Lazaro Cardenas,MX,17.9583,-102.2,78.51,88,100,6.4,overcast clouds
191,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,73,11,6.49,few clouds
192,Murwillumbah,AU,-28.3167,153.4,69.94,83,75,8.05,broken clouds
193,Barrow,US,71.2906,-156.7887,28.42,80,90,5.75,overcast clouds
194,Fomboni,KM,-12.28,43.7425,80.04,85,11,14.41,few clouds
195,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,13.8,scattered clouds
196,Svetlaya,RU,46.5389,138.3297,43.05,65,0,5.91,clear sky
197,Mount Gambier,AU,-37.8333,140.7667,50.09,56,100,6.51,overcast clouds
198,Kotovo,RU,50.3211,44.8012,40.84,58,100,7.76,overcast clouds
199,Benghazi,LY,32.1167,20.0667,79.36,38,100,20.18,overcast clouds
200,Oshikango,NA,-17.4,15.8833,82.29,19,0,4.74,clear sky
201,Micheweni,TZ,-4.9667,39.8333,77.88,81,5,6.85,clear sky
202,Carutapera,BR,-1.195,-46.02,86.29,63,23,9.8,few clouds
203,Ostersund,SE,63.1792,14.6357,39.65,100,90,0.0,overcast clouds
204,Mitchell,US,43.7094,-98.0298,46.38,80,90,4.0,overcast clouds
205,Danilovka,RU,50.3557,44.1168,40.95,60,87,8.12,overcast clouds
206,Teya,RU,60.3778,92.6267,35.82,96,98,10.2,light rain
207,Klyuchi,RU,52.2667,79.1667,45.41,68,99,10.63,overcast clouds
208,Itambe,BR,-15.245,-40.6244,78.71,82,93,3.18,overcast clouds
209,Inirida,CO,3.8653,-67.9239,86.97,66,93,3.49,overcast clouds
210,Haines Junction,CA,60.7522,-137.5108,24.75,93,53,2.3,broken clouds
211,Atuona,PF,-9.8,-139.0333,77.83,71,7,17.94,clear sky
212,Auki,SB,-8.7676,160.7034,76.5,88,33,4.0,scattered clouds
213,Pontianak,ID,-0.0333,109.3333,76.98,100,90,1.14,mist
214,Severo-Kurilsk,RU,50.6789,156.125,38.28,76,28,15.46,scattered clouds
215,Pedernales,DO,18.0384,-71.744,86.16,59,92,2.35,overcast clouds
216,Meulaboh,ID,4.1363,96.1285,74.34,92,100,5.23,overcast clouds
217,Turukhansk,RU,65.8167,87.9833,26.53,88,100,15.48,overcast clouds
218,Port Jervis,US,41.3751,-74.6927,57.18,76,100,7.14,overcast clouds
219,Chara,RU,56.9064,118.2631,28.24,65,100,1.01,overcast clouds
220,Mangrol,IN,21.1167,70.1167,79.66,64,0,7.49,clear sky
221,Saint-Francois,FR,46.4154,3.9054,48.67,90,0,1.14,clear sky
222,Taltal,CL,-25.4,-70.4833,63.36,69,24,6.4,few clouds
223,Vostok,RU,46.4856,135.8833,30.96,76,0,5.1,clear sky
224,Melilla,ES,35.2937,-2.9383,66.4,82,20,5.75,few clouds
